,elevation,relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c,is_hot_day
0,74,41.42,200.0,4.0,30.06,6.21,25.0,11.0,25.0,0
1,74,33.85,230.0,11.0,30.0,1.86,25.0,8.0,24.43888889,0
2,74,53.03,280.0,4.0,30.03,6.21,22.0,12.0,22.0,0
3,74,59.97,280.0,5.0,30.09,6.21,20.0,12.0,20.0,0
4,74,49.37,40.0,11.0,30.09,6.21,21.0,10.0,21.0,0
5,74,46.43,50.0,12.0,30.06,6.21,22.0,10.0,22.0,0
6,74,46.71,300.0,6.0,30.09,1.86,23.0,11.0,23.0,0
7,74,53.55,310.0,5.0,30.12,1.24,24.0,14.0,24.0,0
8,74,30.07,60.0,7.0,30.06,6.21,27.0,8.0,26.42222222,0
9,74,23.07,210.0,6.0,30.03,3.73,28.0,5.0,26.82777778,0
10,74,49.64,350.0,9.0,30.06,2.49,22.0,11.0,22.0,0
11,74,59.74,50.0,4.0,29.97,6.21,19.0,11.0,19.0,0
12,74,56.13,250.0,5.83,29.97,3.73,20.0,11.0,20.0,0
13,74,35.09,230.0,16.0,29.97,6.21,21.0,5.0,21.0,0
14,74,30.77,220.0,9.0,30.03,6.21,22.0,4.0,21.06111111,0
15,74,33.85,130.0,2.0,29.97,6.21,25.0,8.0,24.43888889,0
16,74,27.53,200.0,9.0,29.94,3.73,25.0,5.0,24.27222222,0
17,74,49.1,290.0,9.0,29.85,3.73,20.0,9.0,20.0,0
18,74,48.83,230.0,15.0,29.94,6.21,19.0,8.0,19.0,0
19,74,42.57,270.0,12.0,30.0,6.21,19.0,6.0,19.0,0
20,74,39.72,250.0,7.0,30.15,6.21,19.0,5.0,19.0,0
21,74,34.8,190.0,12.0,30.09,6.21,20.0,4.0,20.0,0
22,74,37.61,230.0,12.0,30.0,3.73,21.0,6.0,21.0,0
23,74,32.14,240.0,15.0,29.97,6.21,19.0,2.0,19.0,0
24,74,48.0,280.0,9.0,30.15,6.21,16.0,5.0,16.0,0
25,74,51.18,30.0,8.0,30.27,3.73,15.0,5.0,15.0,0
26,74,34.51,60.0,16.0,30.06,6.21,19.0,3.0,19.0,0
27,74,26.98,210.0,16.0,29.83,3.73,23.0,3.0,22.06111111,0
28,74,16.9,210.0,11.0,29.8,2.49,26.0,-1.0,25.09444444,0
29,74,15.48,170.0,20.0,29.68,6.21,25.0,-3.0,23.96111111,0
30,74,28.68,360.0,7.0,29.94,6.21,22.0,3.0,21.00555556,0
31,74,24.59,30.0,8.0,30.09,6.21,21.0,0.0,21.0,0
32,74,30.77,270.0,7.0,29.91,6.21,22.0,4.0,21.06111111,0
33,74,39.14,290.0,17.0,30.0,6.21,17.0,3.0,17.0,0
34,74,47.72,290.0,14.0,30.12,6.21,15.0,4.0,15.0,0
35,74,62.92,270.0,9.0,30.09,6.21,15.0,8.0,15.0,0
36,74,38.85,300.0,6.0,30.09,6.21,16.0,2.0,16.0,0
37,74,32.14,210.0,7.0,30.0,6.21,19.0,2.0,19.0,0
38,74,20.23,210.0,19.0,29.83,3.73,23.0,-1.0,21.88333333,0
39,74,28.96,240.0,10.0,29.88,6.21,23.0,4.0,22.11111111,0
40,74,27.81,180.0,4.0,29.94,6.21,26.0,6.0,25.38333333,0
41,74,14.18,200.0,19.0,29.8,3.73,29.0,-1.0,27.36666667,0
42,74,21.51,360.0,2.0,29.97,6.21,28.0,4.0,26.78333333,0
43,74,15.92,210.0,6.0,29.91,2.49,32.0,3.0,29.81666667,0
44,74,19.64,290.0,7.0,29.85,2.49,32.0,6.0,29.96111111,0
45,74,17.09,220.0,14.0,29.8,3.73,32.0,4.0,29.85,0
46,74,44.25,340.0,6.0,29.94,2.49,25.0,12.0,25.0,0
